# CoordinateSystem: PROJCS["SIRGAS 2000 / UTM zone 22S",GEOGCS["SIRGAS 2000",DATUM["Sistema de Referencia Geocentrico para las AmericaS 2000",SPHEROID["GRS 1980",6378137,298.257222101,AUTHORITY["EPSG","7019"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6674"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4674"]],PROJECTION["Transverse_Mercator",AUTHORITY["EPSG","9807"]],PARAMETER["latitude_of_origin",0],PARAMETER["central_meridian",-51],PARAMETER["scale_factor",0.9996],PARAMETER["false_easting",500000],PARAMETER["false_northing",10000000],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","31982"]]
#Label	X/Easting	Y/Northing	Z/Altitude	Accuracy_X/Y/Z_(m)	Error_(m)	X_error	Y_error	Z_error	X_est	Y_est	Z_est
V09	677597.438000	7184045.504000	906.061400	0.005000	0.151837	0.020405	0.139431	-0.056544	677597.458402	7184045.643410	906.004856
V10	677610.779000	7184122.534000	908.148800	0.005000	0.047909	-0.013470	-0.005196	-0.045682	677610.765532	7184122.528805	908.103118
V11	677660.787000	7184173.432000	911.552250	0.005000	0.050953	-0.019303	-0.045692	0.011657	677660.767699	7184173.386315	911.563907
V12	677676.289000	7184226.952000	913.555540	0.005000	0.046032	-0.008967	0.019650	0.040650	677676.280034	7184226.971647	913.596190
V13	677737.088000	7184426.757000	916.325800	0.005000	0.067446	0.013478	0.058149	0.031402	677737.101476	7184426.815140	916.357202
C34	677413.770000	7183654.724000	904.239140	0.005000	0.107345	0.006738	0.106769	0.008828	677413.776737	7183654.830753	904.247968
C35	677431.171000	7183699.140000	903.995400	0.005000	0.016788	0.013744	0.005596	-0.007849	677431.184742	7183699.145595	903.987551
C36	677449.157000	7183742.009000	904.886050	0.005000	0.056442	0.025355	0.037890	-0.033274	677449.182351	7183742.046884	904.852776
C37	677191.976000	7183373.939000	907.474500	0.005000	0.034326	-0.000044	0.014501	-0.031112	677191.975956	7183373.953499	907.443388
C38	677242.988000	7183478.522000	907.564640	0.005000	0.055440	-0.046358	-0.020317	-0.022624	677242.941650	7183478.501686	907.542016
C39	677267.572000	7183570.113000	908.295350	0.005000	0.043931	0.029498	0.023687	0.022332	677267.601493	7183570.136684	908.317682
C40	677290.819000	7183625.310000	904.327800	0.005000	0.060657	-0.052271	0.009977	-0.029110	677290.766737	7183625.319976	904.298690
C41	677334.916000	7183703.568000	901.424700	0.005000	0.028795	-0.025974	0.008891	0.008686	677334.890030	7183703.576890	901.433386
C42	677362.341000	7183768.728000	902.153440	0.005000	0.080193	-0.052254	-0.038567	0.047043	677362.288754	7183768.689439	902.200483
C43	677398.937000	7183841.111000	911.226200	0.005000	0.041271	0.027861	0.020894	0.022148	677398.964857	7183841.131890	911.248348
C44	677394.378000	7183871.488000	910.488950	0.005000	0.044130	0.029278	0.032113	-0.007684	677394.407273	7183871.520108	910.481266
C45	677445.117000	7183998.459000	907.854200	0.005000	0.066271	0.065841	-0.003828	-0.006498	677445.182830	7183998.455173	907.847702
C46	677467.462000	7184065.603000	905.128230	0.005000	0.022547	0.008375	-0.017993	0.010699	677467.470374	7184065.585009	905.138929
C47	677486.192000	7184091.930000	905.154200	0.005000	0.075880	0.019443	-0.064413	0.035081	677486.211440	7184091.865596	905.189281
C48	677535.438000	7184164.826000	905.466430	0.005000	0.063185	0.038613	0.031466	-0.038876	677535.476607	7184164.857461	905.427554
C49	677613.056000	7184323.371000	913.943400	0.005000	0.056213	0.037164	-0.027824	0.031695	677613.093158	7184323.343180	913.975095
C50	677635.933000	7184413.980000	914.410770	0.005000	0.039694	0.027314	-0.007779	-0.027731	677635.960310	7184413.972222	914.383039
C51	677678.908000	7184460.067000	915.698240	0.005000	0.071734	-0.042232	0.054852	-0.018799	677678.865774	7184460.121844	915.679441
V14	677242.881000	7183453.320000	907.496300	0.005000	0.097239	-0.010526	-0.049725	-0.082898	677242.870476	7183453.270282	907.413402
V15	677294.271000	7183558.786000	907.706050	0.005000	0.073988	0.021251	-0.041535	-0.057424	677294.292248	7183558.744472	907.648626
V16	677298.639000	7183606.438000	907.211100	0.005000	0.079073	0.067913	-0.007454	-0.039811	677298.706902	7183606.430547	907.171289
